Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,StoneArea,TotalSF,BuiltEqualRemod,Pool,TotalBath,TotalRoomsAboveGrade,TotalPorchSF,TotalOverallGrade,ConditionsScore,LotDepth,AreaLivRatio,GLQBsmtArea
265,30,RM,30.0,5232,Pave,Grvl,0,Bnk,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,2,3,1,1,0.0,1,0.0,680.0,680.0,GasA,3,N,FuseP,764,0,0,764,0.0,0.0,1,0,2,1,2,4,Typ,0,1,Detchd,1965.0,1,2.0,504.0,3,3,0,0,0,0,0,0,0,None,None,None,0,6,2008,WD,Normal,0.0,1444.0,0,0,1.0,5.0,0,10,1,174.4,4.126182965299685,0.0
266,20,RL,78.0,12090,Pave,None,2,Lvl,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,2,3,CBlock,4,3,1,6,588.0,2,228.0,606.0,1422.0,GasA,2,Y,SBrkr,1422,0,0,1422,0.0,0.0,2,0,3,1,3,7,Typ,1,3,Attchd,1981.0,3,2.0,576.0,3,3,2,276,0,0,0,0,0,None,GdPrv,None,0,6,2008,WD,Normal,0.0,2844.0,1,0,2.0,9.0,276,12,3,155.0,6.051051051051051,0.0
267,60,RL,70.0,11207,Pave,None,2,HLS,FR2,2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,3,6,714.0,1,0.0,88.0,802.0,GasA,3,Y,SBrkr,802,709,0,1511,1.0,0.0,2,1,3,1,2,8,Typ,1,3,Attchd,1997.0,3,2.0,413.0,3,3,2,95,75,0,0,0,0,None,None,None,0,6,2006,WD,Normal,0.0,2313.0,1,0,3.5,10.5,170,11,3,160.1,9.223868312757201,0.0
268,75,RL,60.0,8400,Pave,None,3,Bnk,Inside,1,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,3,1,2,378.0,1,0.0,342.0,720.0,GasA,4,Y,SBrkr,1052,720,420,2192,0.0,0.0,2,1,4,1,3,8,Typ,1,4,Detchd,1939.0,1,1.0,240.0,3,3,2,262,24,0,0,0,0,None,None,None,0,7,2008,WD,Normal,0.0,2492.0,0,0,2.5,10.5,286,13,3,140.0,6.501547987616099,0.0
269,30,RM,71.0,6900,Pave,None,3,Lvl,Inside,2,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,5,403.0,3,125.0,212.0,740.0,GasA,4,Y,SBrkr,778,0,0,778,0.0,0.0,1,0,2,1,2,4,Typ,1,4,Detchd,1966.0,3,1.0,924.0,5,5,2,0,25,0,0,0,0,None,None,None,0,2,2008,WD,Normal,0.0,1518.0,0,0,1.0,5.0,25,11,3,97.1830985915493,4.054054054054054,0.0
270,20,RL,64.5,7917,Pave,None,2,Lvl,Corner,2,Edwards,Norm,Norm,1Fam,1Story,6,7,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,174.0,2,3,CBlock,3,4,1,4,751.0,1,0.0,392.0,1143.0,GasA,2,Y,SBrkr,1113,0,0,1113,1.0,0.0,1,1,3,1,2,6,Typ,1,2,Attchd,1987.0,2,1.0,504.0,3,4,2,370,30,0,0,0,0,None,GdPrv,None,0,5,2007,WD,Normal,0.0,2256.0,1,0,2.5,7.5,400,13,3,122.74418604651163,4.896103896103896,0.0
271,60,FV,84.0,10728,Pave,None,3,Lvl,Inside,2,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,2,1,0.0,1,0.0,1095.0,1095.0,GasA,3,Y,SBrkr,1095,844,0,1939,0.0,0.0,2,1,3,1,3,8,Typ,1,4,Attchd,2006.0,2,3.0,1053.0,3,3,2,192,51,0,0,0,0,None,None,None,0,8,2006,New,Partial,0.0,3034.0,1,0,2.5,10.5,243,13,3,127.71428571428571,4.994413407821229,0.0
272,20,RL,73.0,39104,Pave,None,2,Low,CulDSac,0,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,None,0.0,2,2,CBlock,4,3,4,2,226.0,6,1063.0,96.0,1385.0,GasA,4,Y,SBrkr,1363,0,0,1363,1.0,0.0,1,0,2,1,2,5,Mod,2,3,Attchd,1954.0,1,2.0,439.0,3,3,2,81,0,0,0,0,0,None,None,None,0,4,2008,WD,Normal,0.0,2748.0,0,0,2.0,6.0,81,14,3,535.6712328767123,21.700332963374027,0.0
273,60,RL,92.0,11764,Pave,None,2,Lvl,CulDSac,2,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,3,2,PConc,4,3,1,6,524.0,1,0.0,628.0,1152.0,GasA,4,Y,SBrkr,1164,1106,0,2270,0.0,0.0,2,1,4,1,3,9,Typ,1,4,Attchd,1999.0,3,3.0,671.0,3,3,2,132,57,0,0,0,0,None,None,None,0,4,2010,WD,Normal,0.0,3422.0,0,0,2.5,11.5,189,15,3,127.8695652173913,6.410899182561308,0.0
274,20,RL,80.0,9600,Pave,None,3,Lvl,Inside,2,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,2,2,CBlock,3,3,1,3,620.0,2,620.0,0.0,1240.0,GasA,3,Y,SBrkr,1632,0,0,1632,1.0,0.0,2,0,3,1,2,6,Min1,1,4,Attchd,1958.0,2,1.0,338.0,3,3,2,289,0,0,0,0,0,None,MnPrv,None,0,4,2009,WD,Normal,0.0,2872.0,0,0,3.0,8.0,289,12,1,120.0,4.873096446700508,0.0
275,20,RL,76.0,8314,Pave,None,3,Lvl,Corner,2,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982,1982,Gable,CompShg,HdBoard,ImStucc,None,0.0,2,2,CBlock,3,3,4,5,546.0,1,0.0,270.0,816.0,GasA,2,Y,SBrkr,816,0,0,816,0.0,0.0,1,0,2,1,2,5,Typ,0,1,Attchd,1982.0,1,1.0,264.0,3,3,2,168,0,0,0,0,0,None,None,None,0,6,2007,WD,Normal,0.0,1632.0,1,0,1.0,6.0,168,12,3,109.39473684210526,7.698148148148148,0.0
276,50,RL,55.0,7264,Pave,None,3,Lvl,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,952.0,952.0,GasW,3,N,SBrkr,952,596,0,1548,0.0,0.0,2,1,3,1,4,5,Typ,0,1,Detchd,1978.0,1,2.0,672.0,3,3,2,74,0,0,0,144,0,None,None,None,0,10,2009,WD,Normal,0.0,2500.0,0,0,2.5,7.5,218,14,3,132.07272727272726,4.472906403940887,0.0
277,20,RL,129.0,9196,Pave,None,2,Lvl,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,1,1,0.0,1,0.0,1560.0,1560.0,GasA,4,Y,SBrkr,1560,0,0,1560,0.0,0.0,2,0,3,1,3,7,Typ,0,1,Attchd,2003.0,3,2.0,573.0,3,3,2,100,150,0,0,0,0,None,None,None,0,4,2010,WD,Normal,0.0,3120.0,1,0,2.0,9.0,250,12,3,71.28682170542636,4.311298640412565,0.0
278,20,RL,140.0,19138,Pave,None,3,Lvl,Corner,2,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,2,120.0,1,0.0,744.0,864.0,GasA,4,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,2,4,Typ,0,1,Detchd,1951.0,1,2.0,400.0,3,3,2,0,0,0,0,0,0,None,None,None,0,6,2010,WD,Normal,0.0,1728.0,1,0,1.0,5.0,0,9,3,136.7,15.140822784810126,0.0
279,20,RL,107.0,14450,Pave,None,3,Lvl,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,BrkFace,315.0,4,2,PConc,5,3,4,1,0.0,1,0.0,2121.0,2121.0,GasA,4,Y,SBrkr,2121,0,0,2121,0.0,0.0,2,1,3,1,4,8,Typ,1,5,Attchd,2007.0,3,3.0,732.0,3,3,2,124,98,0,0,142,0,None,None,None,0,5,2007,New,Partial,0.0,4242.0,0,0,2.5,10.5,364,14,3,135.0467289719626,5.06484402383456,0.0
280,60,RL,83.0,10005,Pave,None,3,Lvl,Inside,2,ClearCr,Norm,Norm,1Fam,2Story,7,5,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,299.0,2,2,CBlock,4,3,1,4,392.0,1,0.0,768.0,1160.0,GasA,4,Y,SBrkr,1156,866,0,2022,0.0,0.0,2,1,4,1,2,8,Typ,1,3,Attchd,1977.0,3,2.0,505.0,3,3,2,288,117,0,0,0,0,None,None,None,0,3,2008,WD,Normal,0.0,3182.0,1,0,2.5,10.5,405,12,3,120.5421686746988,6.023479831426851,0.0
281,60,RL,82.0,11287,Pave,None,3,Lvl,Inside,2,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989,1989,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,3,2,CBlock,4,3,3,6,421.0,1,0.0,386.0,807.0,GasA,3,Y,SBrkr,1175,807,0,1982,0.0,0.0,2,1,3,1,3,7,Typ,1,3,Attchd,1989.0,3,2.0,575.0,3,3,2,0,84,0,196,0,0,None,None,None,0,1,2007,WD,Normal,0.0,2789.0,1,0,2.5,9.5,280,13,3,137.64634146341464,6.449714285714285,0.0
282,20,FV,60.0,7200,Pave,Pave,3,Lvl,Inside,2,Somerst,Norm,Norm,1Fam,1Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,68.0,3,2,PConc,4,3,1,6,905.0,1,0.0,357.0,1262.0,GasA,3,Y,SBrkr,1262,0,0,1262,0.0,0.0,2,0,2,1,3,5,Typ,0,1,Attchd,2006.0,3,2.0,572.0,3,3,2,0,120,0,0,0,0,None,None,None,0,5,2006,New,Partial,68.0,2524.0,1,0,2.0,7.0,120,11,3,120.0,3.925845147219193,0.0
283,120,RL,34.0,5063,Pave,None,3,Lvl,Inside,2,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,166.0,3,2,PConc,4,3,1,6,904.0,1,0.0,410.0,1314.0,GasA,4,Y,SBrkr,1314,0,0,1314,1.0,0.0,2,0,2,1,3,6,Typ,1,4,Attchd,2008.0,2,2.0,626.0,3,3,2,172,62,0,0,0,0,None,None,None,0,4,2009,ConLw,Normal,166.0,2628.0,0,0,3.0,8.0,234,12,3,148.91176470588235,2.6097938144329897,0.0
284,20,RL,74.0,9612,Pave,None,3,Lvl,Inside,2,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,Stone,72.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1468.0,1468.0,GasA,4,Y,SBrkr,1468,0,0,1468,0.0,0.0,2,0,3,1,3,6,Typ,1,4,Attchd,2008.0,3,3.0,898.0,3,3,2,210,150,0,0,0,0,None,None,None,0,12,2009,New,Partial,72.0,2936.0,0,0,2.0,8.0,360,13,1,129.8918918918919,4.062552831783601,0.0
285,120,RL,50.0,8012,Pave,None,3,Lvl,Inside,2,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,Plywood,ImStucc,None,0.0,3,2,PConc,4,3,1,6,430.0,1,0.0,1145.0,1575.0,GasA,3,Y,SBrkr,1575,0,0,1575,1.0,0.0,2,0,2,1,3,5,Typ,0,1,Attchd,1992.0,2,2.0,529.0,3,3,2,0,0,52,0,0,0,None,None,None,0,7,2007,WD,Normal,0.0,3150.0,1,0,3.0,7.0,52,11,3,160.24,3.807984790874525,0.0
286,160,FV,35.0,4251,Pave,Pave,2,Lvl,Inside,2,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,625.0,625.0,GasA,4,Y,SBrkr,625,625,0,1250,0.0,0.0,2,1,2,1,3,5,Typ,0,1,Detchd,2006.0,2,2.0,528.0,3,3,2,0,54,0,0,0,0,None,None,None,0,6,2007,New,Partial,0.0,1875.0,0,0,2.5,7.5,54,12,3,121.45714285714286,3.686903729401561,0.0
287,50,RL,77.0,9786,Pave,None,2,Bnk,Inside,2,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1962,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,3,600.0,1,0.0,312.0,912.0,GasA,2,Y,SBrkr,1085,649,0,1734,0.0,0.0,1,1,3,1,3,7,Typ,1,4,Attchd,1962.0,2,2.0,440.0,3,3,2,0,0,0,0,128,0,None,GdPrv,None,0,6,2006,WD,Normal,0.0,2646.0,0,0,1.5,8.5,128,13,3,127.0909090909091,6.417049180327869,0.0
288,20,RL,73.0,8125,Pave,None,2,Lvl,Corner,2,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,4,614.0,1,0.0,244.0,858.0,GasA,2,Y,SBrkr,858,0,0,858,0.0,0.0,1,0,3,1,2,5,Typ,0,1,None,0.0,0,0.0,0.0,1,1,2,0,0,0,0,0,0,None,None,None,0,6,2006,WD,Normal,0.0,1716.0,1,0,1.0,6.0,0,8,3,111.3013698630137,9.469696969696969,0.0
289,20,RL,72.0,9819,Pave,None,2,Lvl,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,2,3,CBlock,3,3,1,4,450.0,1,0.0,432.0,882.0,GasA,2,Y,SBrkr,900,0,0,900,0.0,0.0,1,0,3,1,2,5,Typ,0,1,Detchd,1970.0,1,1.0,280.0,3,3,2,0,0,0,0,0,0,None,MnPrv,None,0,2,2010,WD,Normal,0.0,1782.0,1,0,1.0,6.0,0,10,3,136.375,8.321186440677966,0.0
290,70,RL,60.0,8730,Pave,None,3,Lvl,Inside,2,BrkSide,RRAn,Norm,1Fam,2Story,6,7,1915,2003,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,698.0,698.0,GasA,4,Y,FuseA,698,698,0,1396,0.0,0.0,1,0,3,1,2,7,Typ,0,1,Detchd,2003.0,1,1.0,384.0,3,3,2,0,0,0,0,259,0,None,None,None,0,7,2007,WD,Normal,0.0,2094.0,0,0,1.0,8.0,259,13,1,145.5,8.068391866913124,0.0
291,60,RL,120.0,15611,Pave,None,3,Lvl,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,3,1,0.0,1,0.0,1079.0,1079.0,GasA,4,Y,SBrkr,1079,840,0,1919,0.0,0.0,2,1,3,1,3,8,Typ,1,4,Attchd,2006.0,2,2.0,685.0,4,3,2,0,51,0,0,0,0,None,None,None,0,7,2006,New,Partial,0.0,2998.0,1,0,2.5,10.5,51,13,3,130.09166666666667,8.849773242630386,0.0
292,190,RL,55.0,5687,Pave,Grvl,3,Bnk,Inside,2,SWISU,Norm,Norm,2fmCon,2Story,5,6,1912,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,1,PConc,3,2,1,3,210.0,1,0.0,570.0,780.0,GasA,4,N,SBrkr,936,780,0,1716,1.0,0.0,2,0,6,1,1,9,Typ,0,1,None,0.0,0,0.0,0.0,1,1,0,0,184,0,0,0,0,None,None,None,0,3,2008,WD,Normal,0.0,2496.0,0,0,3.0,11.0,184,11,3,103.4,6.075854700854701,0.0
293,50,RL,60.0,11409,Pave,None,3,Lvl,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,2,292.0,1,0.0,476.0,768.0,GasA,3,Y,SBrkr,1148,568,0,1716,0.0,0.0,1,1,3,1,2,8,Min2,1,4,Attchd,1949.0,1,1.0,281.0,3,3,2,0,0,0,0,160,0,None,None,None,0,1,2009,WD,Normal,0.0,2484.0,0,0,1.5,9.5,160,9,3,190.15,7.9839048285514345,0.0
294,60,RL,80.0,16659,Pave,None,2,Lvl,Corner,2,NWAmes,PosA,Norm,1Fam,2Story,7,7,1977,1994,Gable,CompShg,Plywood,Plywood,BrkFace,34.0,2,2,CBlock,3,3,1,5,795.0,1,0.0,0.0,795.0,GasA,1,Y,SBrkr,1468,795,0,2263,1.0,0.0,2,1,3,1,3,9,Typ,1,3,Attchd,1977.0,3,2.0,539.0,3,3,2,0,250,0,0,0,0,None,None,None,0,3,2006,WD,Normal,0.0,3058.0,0,0,3.5,11.5,250,14,4,208.2375,8.300448430493274,0.0
295,20,RL,80.0,9600,Pave,None,3,Lvl,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,HdBoard,HdBoard,Stone,238.0,2,2,CBlock,3,3,1,6,1285.0,1,0.0,131.0,1416.0,GasA,2,Y,SBrkr,1644,0,0,1644,1.0,0.0,1,0,3,1,2,7,Typ,2,4,Attchd,1953.0,3,2.0,418.0,3,3,2,110,0,0,0,0,0,None,None,None,0,10,2009,WD,Normal,238.0,3060.0,1,0,2.0,8.0,110,11,3,120.0,4.655674102812803,0.0
296,80,RL,37.0,7937,Pave,None,2,Lvl,CulDSac,2,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1984,1984,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,3,6,819.0,1,0.0,184.0,1003.0,GasA,2,Y,SBrkr,1003,0,0,1003,1.0,0.0,1,0,3,1,2,6,Typ,0,1,Detchd,1984.0,1,2.0,588.0,3,3,2,120,0,0,0,0,0,None,GdPrv,None,0,3,2006,WD,Normal,0.0,2006.0,1,0,2.0,7.0,120,12,3,214.51351351351352,4.988686360779384,0.0
297,50,RM,75.0,13710,Pave,None,3,Lvl,Inside,2,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,4,420.0,1,0.0,490.0,910.0,GasA,2,Y,FuseA,910,648,0,1558,0.0,0.0,1,1,4,1,2,6,Typ,0,1,Attchd,1950.0,1,1.0,282.0,3,3,2,289,0,0,0,0,0,None,MnPrv,None,0,6,2007,WD,Normal,0.0,2468.0,1,0,1.5,7.5,289,10,3,182.8,11.501677852348994,0.0
298,60,FV,66.0,7399,Pave,Pave,2,Lvl,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,1997,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,1600.0,3,2,PConc,4,3,1,4,649.0,1,0.0,326.0,975.0,GasA,4,Y,SBrkr,975,975,0,1950,0.0,0.0,2,1,3,1,3,7,Typ,1,3,Detchd,1997.0,2,2.0,576.0,3,3,2,0,10,0,0,198,0,None,None,None,0,6,2007,WD,Normal,0.0,2925.0,0,0,2.5,9.5,208,12,3,112.10606060606061,4.770470664087686,0.0
299,60,RL,90.0,11700,Pave,None,3,Lvl,Inside,2,NWAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Mansard,CompShg,HdBoard,AsphShn,BrkFace,365.0,3,2,CBlock,3,3,1,5,384.0,3,175.0,143.0,702.0,GasA,3,Y,SBrkr,1041,702,0,1743,0.0,1.0,1,2,3,1,2,7,Typ,1,4,Attchd,1968.0,1,2.0,539.0,3,3,2,224,0,0,0,0,0,None,None,None,0,6,2007,WD,Normal,0.0,2445.0,1,0,2.5,9.0,224,12,3,130.0,7.405063291139241,0.0
300,20,RL,80.0,14000,Pave,None,3,Lvl,Inside,2,Crawfor,Norm,Norm,1Fam,1Story,6,8,1950,2004,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,CBlock,3,3,1,1,0.0,1,0.0,1092.0,1092.0,GasA,4,Y,SBrkr,1152,0,0,1152,0.0,1.0,1,0,3,1,3,6,Typ,1,4,Attchd,1950.0,1,1.0,300.0,3,3,2,0,36,0,0,0,0,None,GdPrv,None,0,8,2009,WD,Family,0.0,2244.0,0,0,1.5,7.0,36,14,3,175.0,9.641873278236915,0.0
301,190,RL,90.0,15750,Pave,None,3,Lvl,Corner,2,Crawfor,Norm,Norm,2fmCon,1Story,5,5,1953,1953,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,2,2,CBlock,3,3,2,4,841.0,1,0.0,324.0,1165.0,GasA,2,Y,SBrkr,1336,0,0,1336,1.0,0.0,1,0,2,1,2,5,Typ,2,4,Attchd,1953.0,1,1.0,375.0,3,3,2,0,0,0,0,0,0,None,None,None,0,6,2006,WD,Normal,0.0,2501.0,1,0,2.0,6.0,0,10,3,175.0,9.205143191116306,0.0
302,60,RL,66.0,16226,Pave,None,0,Lvl,Inside,2,CollgCr,Norm,Norm,1Fam,2Story,8,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,281.0,1,0.0,747.0,1028.0,GasA,4,Y,SBrkr,1210,1242,0,2452,0.0,0.0,2,1,4,1,3,9,Typ,1,3,BuiltIn,1998.0,3,2.0,683.0,3,3,2,208,50,0,0,0,0,None,None,None,0,5,2007,WD,Normal,0.0,3480.0,0,0,2.5,11.5,258,13,3,245.84848484848484,8.571579503433703,0.0
303,20,RL,118.0,13704,Pave,None,2,Lvl,Corner,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,150.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1541.0,1541.0,GasA,4,Y,SBrkr,1541,0,0,1541,0.0,0.0,2,0,3,1,3,6,Typ,1,3,Attchd,2001.0,2,3.0,843.0,3,3,2,468,81,0,0,0,0,None,None,None,0,1,2006,WD,Normal,0.0,3082.0,0,0,2.0,8.0,549,12,3,116.13559322033899,5.748322147651007,0.0
304,20,RL,70.0,9800,Pave,None,3,Lvl,Corner,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,3,3,1,5,894.0,1,0.0,0.0,894.0,GasA,2,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,2,5,Typ,0,1,Attchd,1975.0,1,2.0,552.0,3,3,2,256,0,0,0,0,0,None,GdWo,None,0,7,2006,WD,Abnorml,0.0,1788.0,1,0,2.0,6.0,256,12,3,140.0,6.77731673582296,0.0
305,75,RM,87.0,18386,Pave,None,3,Lvl,Inside,2,OldTown,Norm,Norm,1Fam,2.5Fin,7,9,1880,2002,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,1470.0,1470.0,GasA,4,Y,SBrkr,1675,1818,0,3493,0.0,0.0,3,0,3,1,3,10,Typ,1,5,Attchd,2003.0,1,3.0,870.0,3,3,2,302,0,0,0,0,0,None,None,None,0,5,2008,WD,Normal,0.0,4963.0,0,0,3.0,13.0,302,16,3,211.33333333333334,7.224361493123772,0.0
306,20,RL,80.0,10386,Pave,None,3,Lvl,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,Stone,246.0,3,2,PConc,4,3,1,6,1464.0,1,0.0,536.0,2000.0,GasA,4,Y,SBrkr,2000,0,0,2000,1.0,0.0,2,0,3,1,3,8,Typ,0,1,Attchd,2004.0,3,3.0,888.0,3,3,2,168,0,0,0,0,0,None,None,None,0,7,2007,WD,Normal,246.0,4000.0,0,0,3.0,10.0,168,13,3,129.825,3.5962603878116344,0.0
307,60,RL,116.0,13474,Pave,None,3,Lvl,Inside,2,SawyerW,Feedr,Norm,1Fam,2Story,7,5,1990,1991,Gable,CompShg,HdBoard,Plywood,BrkFace,246.0,3,2,CBlock,4,3,1,5,700.0,1,0.0,0.0,700.0,GasA,3,Y,SBrkr,1122,1121,0,2243,1.0,0.0,2,1,4,1,3,8,Typ,1,3,Attchd,1990.0,2,3.0,746.0,3,3,2,127,44,224,0,0,0,None,None,None,0,6,2007,WD,Normal,0.0,2943.0,0,0,3.5,10.5,395,12,1,116.15517241379311,7.21306209850107,0.0
308,50,RM,60.0,7920,Pave,Grvl,2,Lvl,Inside,2,IDOTRR,Artery,Norm,1Fam,1.5Fin,6,7,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,1,CBlock,3,3,1,1,0.0,1,0.0,319.0,319.0,GasA,2,Y,FuseA,1035,371,0,1406,0.0,0.0,1,0,3,1,1,6,Typ,0,1,None,0.0,0,0.0,0.0,1,1,0,0,144,0,0,0,0,None,MnPrv,None,0,3,2008,WD,Normal,0.0,1725.0,0,0,1.0,7.0,144,13,1,132.0,7.6521739130434785,0.0
309,30,RL,64.5,12342,Pave,None,2,Lvl,Inside,2,Edwards,Norm,Norm,1Fam,1Story,4,5,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,4,262.0,1,0.0,599.0,861.0,GasA,4,Y,SBrkr,861,0,0,861,0.0,0.0,1,0,1,1,2,4,Typ,0,1,Detchd,1961.0,1,2.0,539.0,3,3,2,158,0,0,0,0,0,None,None,None,0,3,2009,WD,Normal,0.0,1722.0,0,0,1.0,5.0,158,9,3,191.34883720930233,8.815714285714286,0.0
310,20,RL,90.0,12378,Pave,None,2,Lvl,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,4,6,1274.0,1,0.0,622.0,1896.0,GasA,4,Y,SBrkr,1944,0,0,1944,1.0,0.0,2,0,3,1,4,8,Typ,3,5,Attchd,2003.0,3,3.0,708.0,3,3,2,208,175,0,0,0,0,None,None,None,0,11,2006,WD,Normal,0.0,3840.0,0,0,3.0,10.0,383,14,3,137.53333333333333,4.667420814479638,0.0
